Scenario Nickname,Scenario,Bargraph Label,"Number of ATPs, nf, ATP","Number of NAD(P)H, nf, NADH","Number of Ferredoxin (Fd), nf, Fd","Energy Density of Fuel Molecule (J molecule-1), Efuel",Molecular Weight (g),Input Solar Power (W),Total Available Electrical Power (W),Stirring Power (W),CO2 Fixation Method,Electrode to Microbe Mediator,Bio-cell Anode Half-reaction Thermodynamic Potential (V vs. SHE),Bio-cell Anode Half-reaction Bias Voltage (V),Bio-cell Cathode Half-reaction Thermodynamic Potential (V vs. SHE),Bio-cell Cathode Half-reaction Bias Voltage (V vs. SHE),"Bio-cell Voltage (V), ΔV2","Membrane Potential (mV), ΔVmembrane","Acceptor Voltage (V vs. SHE), Vacceptor","Menaquinone Voltage (V. vs. SHE), VQ","Mtr Complex Voltage (V vs. SHE), VMtr",Scale for Dependent Variable,Scale for Independent Variable,"Scale Up Mode (Simple, Stirring with Fixed Density, None, Diffusion with Fixed Density)"
Nickname,Scenario,BargraphLabel,ATPforFuel,NADHforFuel,FdForFuel,energyPerFuelMolecule,molecularWeightFuelMolecule,totalInputPower,totalElectricalPower,stirPower,CO2Method,Mediator,voltageCellTwoAnode,voltageCellTwoAnodeBias,voltageCellTwoCathode,voltageCellTwoCathodeBias,voltageCellTwo,voltageMembrane,vAcceptor,vQuinone,vMtr,dependentVariableScale,independentVariableScale,scaleUpMode
2methylpentane_CBB_EEU,2methylpentane_CBB_EEU,2methylpentane_CBB_EEU,29,22,0,6.9E-18,86.18,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
2methylhexane_CBB_EEU,2methylhexane_CBB_EEU,2methylhexane_CBB_EEU,31,24,0,7.99E-18,100.2,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
2methylheptane_CBB_EEU,2methylheptane_CBB_EEU,2methylheptane_CBB_EEU,37,28,0,9.08E-18,114.23,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
2methyloctane_CBB_EEU,2methyloctane_CBB_EEU,2methyloctane_CBB_EEU,39,30,0,1.02E-17,128.26,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
3methylpentane_CBB_EEU,3methylpentane_CBB_EEU,3methylpentane_CBB_EEU,30,21,0,6.91E-18,86.18,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
3methylhexane_CBB_EEU,3methylhexane_CBB_EEU,3methylhexane_CBB_EEU,37,24,0,8E-18,100.2,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
3methylheptane_CBB_EEU,3methylheptane_CBB_EEU,3methylheptane_CBB_EEU,38,27,0,9.1E-18,114.23,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
3methyloctane_CBB_EEU,3methyloctane_CBB_EEU,3methyloctane_CBB_EEU,45,30,0,1.02E-17,128.26,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
3methylnonane_CBB_EEU,3methylnonane_CBB_EEU,3methylnonane_CBB_EEU,46,33,0,1.12E-17,142.28,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
4methyloctane_CBB_EEU,4methyloctane_CBB_EEU,4methyloctane_CBB_EEU,45,30,0,1.02E-17,128.26,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
4methyldecane_CBB_EEU,4methyldecane_CBB_EEU,4methyldecane_CBB_EEU,53,36,0,1.23E-17,156.31,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
5methylnonane_CBB-EEU,5methylnonane_CBB-EEU,5methylnonane_CBB-EEU,46,33,0,1.12E-17,142.28,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
5methyldecane_CBB_EEU,5methyldecane_CBB_EEU,5methyldecane_CBB_EEU,53,36,0,1.23E-17,156.31,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
2methylpentane_CBB_H2,2methylpentane_CBB_H2,2methylpentane_CBB_H2,29,22,0,6.9E-18,86.18,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
2methylhexane_CBB_H2,2methylhexane_CBB_H2,2methylhexane_CBB_H2,31,24,0,7.99E-18,100.2,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
2methylheptane_CBB_H2,2methylheptane_CBB_H2,2methylheptane_CBB_H2,37,28,0,9.08E-18,114.23,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
2methyloctane_CBB_H2,2methyloctane_CBB_H2,2methyloctane_CBB_H2,39,30,0,1.02E-17,128.26,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
3methylpentane_CBB_H2,3methylpentane_CBB_H2,3methylpentane_CBB_H2,30,21,0,6.91E-18,86.18,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
3methylhexane_CBB_H2,3methylhexane_CBB_H2,3methylhexane_CBB_H2,37,24,0,8E-18,100.2,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
3methylheptane_CBB_H2,3methylheptane_CBB_H2,3methylheptane_CBB_H2,38,27,0,9.1E-18,114.23,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
3methyloctane_CBB_H2,3methyloctane_CBB_H2,3methyloctane_CBB_H2,45,30,0,1.02E-17,128.26,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
3methylnonane_CBB_H2,3methylnonane_CBB_H2,3methylnonane_CBB_H2,46,33,0,1.12E-17,142.28,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
4methyloctane_CBB_H2,4methyloctane_CBB_H2,4methyloctane_CBB_H2,45,30,0,1.02E-17,128.26,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
4methyldecane_CBB_H2,4methyldecane_CBB_H2,4methyldecane_CBB_H2,53,36,0,1.23E-17,156.31,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
5methylnonane_CBB_H2,5methylnonane_CBB_H2,5methylnonane_CBB_H2,46,33,0,1.12E-17,142.28,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
5methyldecane_CBB_H2,5methyldecane_CBB_H2,5methyldecane_CBB_H2,53,36,0,1.23E-17,156.31,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
